"Topic","Name","Representation","Document"
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","Gift of mercy Don't feel too bad. It could have happened to anyoneGift of administration - Lucas, would you get the mop. Soyoon, please help pick this up."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","I choose the words frightful storm deliberately to avoid a general panic. Senate Banking Committee Chairman Chris Dodd said on ABC's Good Morning America, some days ago that we're literally maybe days away from a complete meltdown of our financial system, with all the implications, here at home and globally. An extraordinarily costly plan was voted that is intended to address just the current crisis but it is not working yet as the President reasured us. This is the world that we live in."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","GC 446 National Ruin Follows National Apostasy Do you thing it is impossible for this country to abandon the principle of God, giving up the first amendment. Look, in one session the Congress voted a very unpopular law One trillion bail-out from our money 8 minutes bam. Both candidates united and saying yes They are aware of what Main Street wants. But they ignored the voices 1 trillion After that, another unprecedented and unpopular measure: federal government ownership of a good chunk of banking system...Did you heard that Jesus is coming as a thief in the night."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","Without the direction of the Holy Spirit, this concern can easily turn to slander, for some times there is a fine line between voicing a concern and gossip, and between help and hurt. George Bush the first made a trip to Australia during his term in office, when getting off the plane he decided to flash the reporters, tv crews and bystanders what he thought was the peace sign. What he accomplished was flying the entire nation the bird."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","OK, ask your relatives to help you, I have my own problems. Ha, I remember Joe Biden gafe during an electoral meeting, asking a guy in wheel chair to stand up. Apply... church-sinner-insensitive speaker/pastor... I am sure that the crippled beggar knew about Jesus."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","We are not limited by the positions listed on that sheet. Instead of having a nominating committee choose people, and end up having people serve because they feel pressured, what if we all prayed and said, Lord, where do you want me to serve. May I remind you of 1 Cor."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","There has been vast confusion, accusations galore, an abundance of mudslinging advertisements, both real and false personal attacks and, of course, there has been the attendant media circus. As I thought about this upcoming election, it occurred to me that everyone who is voting will be doing so in the belief that their candidate is better and that the other candidates are either:, less competent,, incompetent,, less qualified, disqualified, or, a willing or unwitting agent of Satan. And that reminded me of a story I read several years ago in Reader's Digest:A candidate for city council in a little town was doing some door to door campaigning, and things were going pretty well, he thought, until he came to the house of grouchy old man. After the he gave his little speech, the old man growled, Vote for you. Why I'd rather vote for the devil. At this point, the candidate realized he didn't stand a chance of swaying the old man, but with a smile he said: I understand. But as it seems your friend is not running, may I count on your support."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","Kennedy. Our votes do make a difference. And we who are Christians should honor this sacred privilege and vote at every opportunity. BUT, that said, we need to realize that there are 2 inherent weaknesses in our semi-democratic process. There are two problems that plague the voting public. The 1st Problem is that we are voting for mere mortals. Neither Superman nor Jesus is running for public office."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","Neither Superman nor Jesus is running for public office. I don't care how moral and upstanding any politician is that we vote into office they are still a sinner. They're still prone to the same weaknesses and sinful tendencies and the same temptations as the rest of us."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","They're still prone to the same weaknesses and sinful tendencies and the same temptations as the rest of us. These politicians are not God they ARE human. They do not walk on water."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","We have been assured, Sir, in the sacred writings, that except the Lord build the House they labour in vain that build it. I firmly believe this; and I also believe that without his concurring aid we shall succeed in this political building no better, than the Builders of Babel: We shall be divided by our little partial local interests; our projects will be confounded, and we ourselves shall become a reproach and bye word down to future ages. Abraham Lincoln wrote, on March 30, 1863 It is the duty of nations as well as of men to own their own dependence upon the overruling power of God, and to recognize the sublime truth announced in the Holy Scriptures and proved by all history that those nations only are blest, whose God is the Lord."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","How could we forget. Well, actually, even with that overwhelming set of witnesses, even we who are Christians can literally forget God's power over our nation if we put more faith in our politicians than we do in God. The Old Testament has an interesting story about Israel's experience with a national referendum."
"-1","-1_church_lord_nation_government","['church', 'lord', 'nation', 'government', 'christians', 'need', 'today', 'faith', 'say', 'truth']","And his sons who might have succeeded him were corrupt and evil men. The people looked the political situation over and came to a conclusion that they needed a King. Every other nation had a king, and they wanted one, too."
