"name","sentiment","score","text"
"Biden","neg","0.976043164730072","What a shame. Some people hate Trump so much that they wish he would die of the Coronavirus. Others hate Biden and make fun of him."
"Biden","neg","0.9516687393188475","OBAMA, and Joe Biden. Seems evil reports follow Obama from the first. Then President 45, Donald Trump."
"Biden","neg","0.9351083040237428","Bush was followed by BARRACK H. OBAMA, and Joe Biden. Seems evil reports follow Obama from the first."
"Biden","neg","0.8998383283615112","What is Trump. What is Biden. Neither one of them is our enemy."
"Biden","neg","0.8988909721374512","We worry about our freedoms when the political winds change. Will Joe Biden and the Democrats clamp down on Christian freedom and condemn Biblical doctrines as hate speech. Or will we be able to maintain our freedoms to worship."
"Biden","neu","0.843070924282074","AS OF THIS WRITING WE DO NOT KNOW FOR CERTAIN IF JOE or DONALD WILL BE NEXT. WILL BIDEN BE PRESIDENT 46. This will be tied up in the courts for some time."
"Biden","neu","0.8423511385917664",". What is Trump. What is Biden."
"Biden","neu","0.8366134762763977","Tuesday night was a macrocosm of what is going on in our country. Whether you're for BLM or not, whether you've for masks or not, whether you're for Kanye West, Trump or Biden, or the libertarian. it doesn't matter."
"Biden","neu","0.8217073082923889","Begin praying for Joe Biden and Kamala Harris. Pray for Donald Trump and Mike Pence. Pray for members of congress and the Supreme Court."
"Biden","neu","0.7886461019515991","What is Biden. 1 Cor 3:3-4 On Friday morning, President Trump announced that he and First Lady Melania Trump have tested positive for COVID-19. and was transferred to Walter Reed Military Medical Center."
"Biden","pos","0.668951153755188","someone is going to win. Either Biden or Trump. Someone will walk away a winner."
"Biden","pos","0.584679365158081","At one point, the interviewer spoke of how, under the economic proposals of his party, wealthier Americans would pay more taxes. Senator Biden defended the proposal saying, It's time to be patriotic time to jump in, time to be part of the deal, time to help get America out of the rut. Douglas K."
"Biden","pos","0.5286878347396851","Those who support a different candidate from us are not our enemies. Trump and Biden are not our enemies. Apostle Paul reminds us in Eph 6:12, For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms."
"Bill Clinton","neg","0.9724538922309875","C. surrounded by officials and President Bill Clinton she declared I feel that the greatest destroyer of peace today is abortion. It is a direct war against the child, a direct killing of an innocent child."
