"name","sentiment","score","text"
"Biden","neg","0.9973535537719728","OK, ask your relatives to help you, I have my own problems. Ha, I remember Joe Biden gafe during an electoral meeting, asking a guy in wheel chair to stand up. Apply... church-sinner-insensitive speaker/pastor... I am sure that the crippled beggar knew about Jesus."
"Biden","neg","0.998224914073944","We must rely on the grace of Christ to carry us through, and His sacramental presence and consolation. What if it gets worse as Biden and Harris have promised it would and lasts for four years or eight or the rest of our lives, God forbid. The Ephesus church also had a third attaboy from St."
"Biden","neg","0.8774965405464172","Douglas K. Daniel, Biden calls paying higher taxes a patriotic act, Associated Press, September 18, 2008 In our culture, it seems to be a question of who gets tax relief the wealthy and big business or the middle class. Pledges to lower taxes are welcomed and promises to raise taxes not so much."
"Biden","neg","0.960629403591156","We worry about our freedoms when the political winds change. Will Joe Biden and the Democrats clamp down on Christian freedom and condemn Biblical doctrines as hate speech. Or will we be able to maintain our freedoms to worship."
"Biden","neg","0.9821458458900452","At one point, the interviewer spoke of how, under the economic proposals of his party, wealthier Americans would pay more taxes. Senator Biden defended the proposal saying, It's time to be patriotic time to jump in, time to be part of the deal, time to help get America out of the rut. Douglas K."
"Biden","pos","0.9819967150688172","There are 4900 friends on my page. If you voted Biden say so. If not unfriend me."
"Bill Clinton","neg","0.9983432292938232","But I am afraid that our kids are growing up in a culture where the concept of Integrityhas been so abused and hidden that it is difficult to either find or recognize. Context President Bill Clinton scandals Our political leaders have abused this fundamental principle and become an embarrassment in many cases. In some instances, our church leaders have abused thisprinciple."
"Bill Clinton","neg","0.7465800642967224","Bill Clinton understood the power of shared suffering. But Bill Clinton wasn't the first to discover this. In fact, God knew this all along."
"Bill Clinton","neg","0.98588228225708","Juanita Broaddrick has accused Clinton of rape; Kathleen Willey has accused Clinton of groping her without consent; and Paula Jones accuses Clinton of exposing himself and sexually harassing her. Other women have had alleged adulterous affairs with Bill Clinton. Of all the allegations made against him regarding his sexual history, Clinton has only admitted extramarital relationships with Monica Lewinsky and Gennifer Flowers, although he settled the suit brought by Paula Jones for 850,000."
"Bill Clinton","neg","0.9936572909355164","Many thought that he loved women and he and his wife Hillary had people killed. Bill Clinton's election was called dirty tactics. Then the 43 George W."
"Bill Clinton","neg","0.999602735042572","He was not a nice fellow. If you are a Democrat, your idea of a bad leader may be Richard Nixon; or if you are a Republican, your idea of a bad leader may be Bill Clinton. But Nero was probably one hundred times worse, a thousand times worse than either of them."
"Bill Clinton","pos","0.9565553665161132","C. surrounded by officials and President Bill Clinton she declared I feel that the greatest destroyer of peace today is abortion. It is a direct war against the child, a direct killing of an innocent child."
"Bill Clinton","pos","0.957846701145172","It was no accident that Bill Clinton chose those words, for he knew that deep within us all, we desire to know that out there somewhere, there is someone who understands how we feel and what we are going through. Bill Clinton understood the power of shared suffering. But Bill Clinton wasn't the first to discover this."
"Bill Clinton","pos","0.9966145157814026","Then we see William J. Bill Clinton. Many thought that he loved women and he and his wife Hillary had people killed."
"Bill Clinton","pos","0.9787552952766418","d. Bill Clinton Love Child Rocks Hillary's Campaigne. Hugh Hefner Trapped in Playboy House of Horrorsf."
"Bill Clinton","pos","0.9668530821800232","In the past couple of weeks, news reports have come out that Newt Gingrich was having an adulterous affair with one of his staff members while he served as Speaker of the House. Bill Bennett gave a powerful rebuke to those Republicans who were very critical of Bill Clinton's behavior, but refuse to criticize Gingrich's behavior. Bennett, a leader in the Republican Party, said men and women of principle need to be willing to condemn dishonest and immoral behavior no matter in which party it occurs."
"Bush","neg","0.8392680883407593","Without the direction of the Holy Spirit, this concern can easily turn to slander, for some times there is a fine line between voicing a concern and gossip, and between help and hurt. George Bush the first made a trip to Australia during his term in office, when getting off the plane he decided to flash the reporters, tv crews and bystanders what he thought was the peace sign. What he accomplished was flying the entire nation the bird."
"Bush","neg","0.9762177467346193","Do you have certain expectations because of your authority, position or wealth. Trust me in this, when you, me, Bill Gates or President Bush die; we all get eaten by the same type of worms. 4."
"Bush","neg","0.9903330206871032","There are no ifs about itKings are not like Presidents. President Bush needed the approval of the majority of the American people to be elected as President. He - to a point - had to tell us what we wanted to hear - things like, I'll protect you, lower your taxes, and protect human life."
"Bush","neg","0.989661693572998","2 Pray this way for kings and all who are in authority so that we can live peaceful and quiet lives marked by godliness and dignity. 1 Timothy 2:1-2 NLT What are some things based on this Scripture and based on what you know about President Bush, and based on what you know happens after a president leaves office, that we could pray about. , _____________________________________________________________, _____________________________________________________________, _____________________________________________________________, _____________________________________________________________, _____________________________________________________________2."
"Bush","neg","0.9936477541923524","Notice as we look closely at verse 6-9 how most of the qualifications involve characterNot knowledge or skillA person's lifestyle and relationships provide a window into his or her characterIt is important to have leaders who can effectively preach God's WordBut it is even more important to have leaders who can live out God's Word and be examples for others to followThat's a lot of pressure on me and my familyWe do answer to a higher authorityWe need to live lives of example for this churchAnd we are lousy at itAt least I amBeing a sinner, I cannot be a perfect exampleNo pastor canBut part of surrendering to the ministry is opening yourself up to scrutinyAnd placing your whole life on displayNot only to your church, but to the community as wellIt's a tough jobAnd I pray that we can live up to the taskBut we are to live a life of exampleHave you noticed a difference in the salute given by our military men and women as President Bush walks by. Most folks would not notice anything, but those who have served in the military see it right awayNext time just watch for thisAs President Bush leaves his helicopter or Air Force One, the honor guard will salute first facing the President as he disembarks, turning to face him as he passes by, and then turning again to salute the President's back as he walks awayThough it is a customary courtesy to the Commander-in-Chief, this kind of salute has not been seen for a long time. Why."
