text,label,score
"Without the direction of the Holy Spirit, this concern can easily turn to slander, for some times there is a fine line between voicing a concern and gossip, and between help and hurt. George Bush the first made a trip to Australia during his term in office, when getting off the plane he decided to flash the reporters, tv crews and bystanders what he thought was the peace sign. What he accomplished was flying the entire nation the bird.",neg,0.8392680883407593
"Do you have certain expectations because of your authority, position or wealth. Trust me in this, when you, me, Bill Gates or President Bush die; we all get eaten by the same type of worms. 4.",neg,0.9762177467346191
"OK, ask your relatives to help you, I have my own problems. Ha, I remember Joe Biden gafe during an electoral meeting, asking a guy in wheel chair to stand up. Apply... church-sinner-insensitive speaker/pastor... I am sure that the crippled beggar knew about Jesus.",neg,0.9973535537719727
"What we need, most of all, is to be sensitive enough to see our opportunities, and to be close enough to God that we will then choose to use our energy, our personality, our money, and our influence to make a difference, to be a peace maker. Peace goes beyond political systems, it goes beyond whether Obama or McCain or anyone else will bring peace to the Middle East, let alone in our own country. It goes beyond issues of wealth, culture and intellect.",pos,0.9966152310371399
"THE FORGIVEN FOREBEAR COLOSSIANS 3:12-14 It's been alleged that the Republican party will spend 150,000 on Vice Presidential candidate Sarah Palin's wardrobe and makeup. Senator Hillary Clinton's pantsuits were donated to her. They cost 6,200.",neg,0.9845987558364868
"They cost 6,200. John McCain wears 500 shoes. Paul tells us every well-dressed Christian has forgiveness and forbearance as an essential part of his wardrobe.",pos,0.9937824606895447
"Now, in our day when moral standards have been so eroded, it is hard to imagine how nonbelievers would be shocked by any type of sexual immorality. During the Clinton-Lewinsky scandal, there were folks who said, What's the big deal. Everyone has extramarital sex and lies about it.",neg,0.9772975444793701
"--when candidates announce they are running for office, they do it in a special place. 6 years ago Obama announced over in Springfield in front of the capitol building. You'd think Jesus would work His first miracle, proving He is God, in imperial Rome, or intellectual Alexandria, or religious Jerusalem.",pos,0.9959562420845032
"In God we trust. If I could find something good in Obama's election victory it might be that it put to death a real danger which loomed, in Christian America, of developing an attitude of 'In Romney we trust. Instead, many now are saying, what are we gonna do for the next four years.",neg,0.9888221025466919
"I don't know if you've figured out who that interview was with. But it was conducted by a Chicago Sun-Times religion reporter on March 27, 2004 as she sat down in a local coffee shop with then State Senator Barack Obama. Why do I tell you about that.",neg,0.9895384311676025
"Either God's people return to God w/ all our hearts, or God will judge our nation Henry Blackaby - Friend of mine I were talking about the election. Texted him: Either way Trump or Biden I believe judgment is coming, evil is going to continue to increase, the love of most will grow cold, 2 Tim 3 4 will become more more evident. I believe we've gone past the point of no return our kids grandkids are going to face unimaginable evil.",neg,0.9913687109947205
"6 THE SIGNATURE By Christ Jesus. A My check My signature Rockefeller's signature Donald Trump'ssignature. Jesus gives us a blank check with His signature on it and says, Just fill it inwith what you need, and I will provide it for you.",pos,0.5337862372398376
"15 For this we say unto you by the word of the Lord, that we which are alive and remain unto the coming of the Lord shall not prevent them which are asleep. 16 For the Lord himself shall descend from heaven with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first:17 Then we which are alive and remain shall be caught up together with them in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord. 18 Wherefore comfort one another with these words.",pos,0.9870322942733765
"A one world movement has been in place for decades, a one world church, a one world economy, and a one world government is right on its heels. Many Americans rejoiced at the news of Obama's victory this week, but they weren't the only ones. Many more around the world are touting him as the President of the World, a major international healer, bringing all together.",pos,0.998623251914978
