"Topic","Name","Representation","Document"
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","An extraordinarily costly plan was voted that is intended to address just the current crisis but it is not working yet as the President reasured us."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","We have an election this coming November. And so far it has been an excellent example of modern American political campaigning."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","There has been vast confusion, accusations galore, an abundance of mudslinging advertisements, both real and false personal attacks and, of course, there has been the attendant media circus."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","As I thought about this upcoming election, it occurred to me that everyone who is voting will be doing so in the belief that their candidate is better and that the other candidates are either: less competent, incompetent, less qualified, disqualified, or a willing or unwitting agent of Satan."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","BUT, that said, we need to realize that there are 2 inherent weaknesses in our semi-democratic process."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The 1st Problem is that we are voting for mere mortals."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Neither Superman nor Jesus is running for public office. I don't care how moral and upstanding any politician is that we vote into office they are still a sinner."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","And some of our best politicians have recognized this."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Most of you know that I am a politically active priest."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Most of you know that I even work as a Poll Worker in our elections because I think the democratic process of our Republic is tremendously important."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","BUT, it is a dangerous, even foolhardy mistake to put more faith in politics, politicians, and political parties than we do in God."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","And it's a very easy trap to fall into."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","As Christians, we have a responsibility to make the state better. In America, we can do this politically, by electing Christian or other high-principled leaders."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Not only are we in the midst of a world-wide pandemic but a hotly contested national election."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","But we should not look to any political party to save us. We dare not identify our faith with any political party. Government cannot save us."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","When this pandemic ends and it will end and this election is settled, we are can be guaranteed of these basic truths."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","After 7pm, the candidates running for office who did not receive a majority of the popular votes conceded to their opponent by giving a speech."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Though Kerry and Daschle both gave concession speeches they weren't the first, nor will they be the last."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The Bible says that they, turned aside after dishonest gain, took bribes, and perverted justice."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","These two used their religious positions, backed by the name of God to gain political and material advantages."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The Bible teaches that when the blind leads the blind they all fall into the ditch."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","God said, the people don't want Me as King!"
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","God said every since they came out of Egypt they have done nothing but forsake me and serve other gods."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Understand today that just because God permits some rulers to be in authority does not mean that he approves of them."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The fact that he says take indicates that that they didn't volunteer, but was drafted."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","If the war in Iraq continues, and God does not intervene through the support of the international community then there might be a draft."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","He said in verse 14, that he will take the best of your fields and give them to his servants."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","In other words he will use the people not only to make himself wealthy, but his friends wealthy."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","In other words he's going to institute higher taxes!"
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The people refused to listen to the prophet and still demanded a specific leader."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","At first I thought this to be merely a political problem, but upon reflection, I have found that the problem is much deeper."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","This is why the revolutionary war was fought."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","There was no free speech."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","One could not vocally disagree with the power of the state."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","There was a limit on the freedom of religion."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","We did not have the right to own a firearm, unless it was for hunting."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The government did not wish the citizen to be empowered with guns."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","There was not freedom to vote ones conscience without fear."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Free speech was a freedom bought with blood, yet there are those in the presidential administration right now who seek to limit that right."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","The freedom of religion has been twisted by the liberal courts to mean freedom from religion."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","This coming Tuesday is a day in which you will choose between invasive It takes a village government that seeks to destroy your blood bought freedom, and a government that would seek to defend this precious gift."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","I am not allowed to tell you which is which from the pulpit, but I beg you to find out for yourself and vote to preserve this precious gift of freedom!"
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","When we go into the voting booth Tuesday, we will look at a list of names have to choose which of those names represents someone who is the best person to lead our nation."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Neither of the top 2 names of those running for President are names that are good names according to the unchanging biblical standards of decency, holiness, morality."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","There is one thing that we can bank on about both of the names that we've heard so much about every day on the news in the media: Neither the name Donald nor Hillary is the Name that is above all names!"
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Friend of mine I were talking about the election. Texted him: Either way Trump or Biden I believe judgment is coming, evil is going to continue to increase, the love of most will grow cold, 2 Tim 3 4 will become more more evident. I believe we've gone past the point of no return our kids grandkids are going to face unimaginable evil."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Prior to the Election, folk were pumped up but it seems like the political activist have fallen asleep again."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","With what many are calling the most important election in our lifetime coming up on Tuesday, I'm going to go out on a limb and endorse someone for president."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","It's time for us to take a united stand and put our hope in one candidate."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","As a preacher I avoid politics in the pulpit but this year I'm going to tell you who to vote for."
"-1","-1_god_election_vote_candidates","['god', 'election', 'vote', 'candidates', 'most', 'presidential', 'say', 'government', 'believe', 'change']","Actually, He doesn't just want your vote; He wants your life."
